grp,variable,value,grp2,var2,num
13_1,9_13,0.1297653368568162,Sense Death,Telepathy,25
13_1,2_1,0.0011779705389429,Sense Death,Implants,2
13_1,2_2,0.003995132305804,Sense Death,Power Suit,2
13_1,2_3,0.0021179530252226,Sense Death,Insanely Rich,7
13_1,2_4,0.0534694105488885,Sense Death,Power Item,18
13_1,2_5,0.0126551902833365,Sense Death,Gadgets,5
13_1,2_6,9.358171367071994e-05,Sense Death,Weapon Master,13
13_1,5_1,0.1662572219241098,Sense Death,Darkforce Manipulation,16
13_1,5_2,0.0083896819695608,Sense Death,Technopathy,4
13_1,5_3,0.0225288417012757,Sense Death,Electronic Disruption,6
13_1,5_4,0.0077683961123552,Sense Death,Radiation,0
13_1,5_5,0.0362505981302704,Sense Death,Holographic Projection,8
13_1,5_6,0.1046552128011733,Sense Death,Electricity Control,17
13_1,5_7,0.0455951266642897,Sense Death,Heat Generation,12
13_1,5_8,0.043709975026795,Sense Death,Energy Based Constructs,12
13_1,5_9,0.0597666438734134,Sense Death,Light Projection,14
13_1,5_10,0.0576597565881547,Sense Death,Energy Shield,15
13_1,5_11,0.0106923132379856,Sense Death,Energy-Enhanced Strike,9
13_1,5_12,0.0887261877232112,Sense Death,Energy Absorption,20
13_1,5_13,0.0475408812497586,Sense Death,Energy Manipulation,17
13_1,5_14,0.0752745330813759,Sense Death,Blast Power,29
13_1,3_1,0.0082525744553455,Sense Death,Prehensile Hair,1
13_1,3_2,0.0323619007712987,Sense Death,Shadowmeld,4
13_1,3_3,0.0260974227103464,Sense Death,Chemical Absorbtion,4
13_1,3_4,0.013090441309414,Sense Death,Sonic Scream,3
13_1,3_5,0.0005475641364318,Sense Death,Webslinger,1
13_1,3_6,0.0117802350824538,Sense Death,Chemical Secretion,4
13_1,3_7,0.007039121274218,Sense Death,Wall Clinger,0
13_1,3_8,0.0545739042694419,Sense Death,Duplication,9
13_1,3_9,0.074616239053671,Sense Death,Matter Absorption,11
13_1,3_10,0.0030870396690944,Sense Death,Elasticity,3
13_1,3_11,0.0025245603779129,Sense Death,Heat Vision,3
13_1,3_12,0.0022256614841506,Sense Death,Sub-Mariner,3
13_1,3_13,0.0398277371410106,Sense Death,Chameleon,9
13_1,3_14,0.0952414338226518,Sense Death,Invisibility,16
13_1,3_15,0.0871644760950449,Sense Death,Phasing / Ghost,17
13_1,3_16,0.0231213040212688,Sense Death,Size Manipulation,10
13_1,3_17,0.080598889231822,Sense Death,Levitation,17
13_1,3_18,0.0057984363552401,Sense Death,Feral,7
13_1,3_19,0.0073762696567331,Sense Death,Claws,8
13_1,3_20,0.0672451948941478,Sense Death,Adaptive,17
13_1,3_21,0.1485240367761816,Sense Death,Teleport,26
13_1,3_22,0.007427257122553,Sense Death,Flight,19
13_1,4_1,0.0008228873844577,Sense Death,Synaesthesia,0
13_1,4_2,0.0319080056015813,Sense Death,Omni-lingual,9
13_1,4_3,0.0363921862409404,Sense Death,Swordsmanship,14
13_1,4_4,0.0162492892177292,Sense Death,Escape Artist,11
13_1,4_5,0.0112246756467187,Sense Death,Tracking,14
13_1,4_6,0.0060968633045127,Sense Death,Stealth,14
13_1,4_7,0.0002311589817131,Sense Death,Marksmanship,11
13_1,4_8,0.0196593237406044,Sense Death,Leadership,22
13_1,4_9,0.0139273352142216,Sense Death,Intellect,30
13_1,4_10,0.0008919373256758,Sense Death,Unarmed Combat,28
13_1,1_1,0.0003484348966801,Sense Death,Super Eating,1
13_1,1_2,0.0045080577587921,Sense Death,Super Smell,6
13_1,1_3,0.0168971189308393,Sense Death,Super Hearing,11
13_1,1_4,0.0481548466907379,Sense Death,Berserker Strength,16
13_1,1_5,0.0146771149966463,Sense Death,Super Sight,12
13_1,1_6,0.035280218604839,Sense Death,Longevity,19
13_1,1_7,0.0358832606205274,Sense Death,Super Speed,22
13_1,1_8,0.163936663808351,Sense Death,Healing,35
13_1,1_9,0.0271983871690134,Sense Death,Super Strength,28
13_1,1_10,0.0117135401964871,Sense Death,Agility,26
13_1,1_11,0.0201800824737112,Sense Death,Stamina,29
13_2,13_1,0.0074025877914229,Electronic interaction,Sense Death,5
13_2,13_2,1.0,Electronic interaction,Electronic interaction,75
13_2,13_3,0.0851765252495858,Electronic interaction,Radar Sense,21
13_2,13_4,0.0284126310988653,Electronic interaction,Danger Sense,13
13_2,14_1,0.0022243048205608,Electronic interaction,Penance Stare,1
13_2,14_2,0.0095209182436757,Electronic interaction,Hellfire Control,4
13_2,14_3,0.0047905035275943,Electronic interaction,Soul Absorption,4
13_2,14_4,0.0185420975762537,Electronic interaction,Darkness Manipulation,8
13_2,14_5,0.007912888013033,Electronic interaction,Death Touch,6
13_2,14_6,0.0074016738021585,Electronic interaction,Necromancy,7
13_2,14_7,0.0001056795089086,Electronic interaction,Possession,4
13_2,11_1,0.0089032532020979,Electronic interaction,Blood Control,3
13_2,11_2,0.013073040706118,Electronic interaction,Controlled Bone Growth,4
13_2,11_3,0.0024790036808705,Electronic interaction,Pheromone Control,2
13_2,11_4,0.0136272691670668,Electronic interaction,Enhance Mutation,7
13_2,11_5,0.0101217079403995,Electronic interaction,Genetic Manipulation,8
13_2,11_6,0.0200855150171861,Electronic interaction,Shape Shifter,21
13_2,8_1,0.0018373951101358,Electronic interaction,Inertia Absorption,2
13_2,8_2,0.1051893555528627,Electronic interaction,Magnetism,20
13_2,8_3,0.0209867941978935,Electronic interaction,Gravity control,9
13_2,8_4,0.0249001403487603,Electronic interaction,Vibration Wave,10
13_2,8_5,0.011261430727274,Electronic interaction,Density Control,9
13_2,8_6,0.0728126127771045,Electronic interaction,Force Field,35
13_2,7_1,0.0006655980032426,Electronic interaction,Sand manipulation,1
13_2,7_2,0.0001177434624977,Electronic interaction,Plant Control,1
13_2,7_3,0.0003155184183395,Electronic interaction,Ice Breath,2
13_2,7_4,0.0120457136089329,Electronic interaction,Flame Breath,6
13_2,7_5,0.0099181239598005,Electronic interaction,Water Control,6
13_2,7_6,2.075301261111e-05,Electronic interaction,Ice Control,2
13_2,7_7,0.0090049197429596,Electronic interaction,Earth Manipulation,7
13_2,7_8,0.0189467768537511,Electronic interaction,Weather Control,10
13_2,7_9,0.0033507412572507,Electronic interaction,Wind Bursts,6
13_2,7_10,0.0006845876148255,Electronic interaction,Animal Control,5
13_2,7_11,0.0002167777043392,Electronic interaction,Fire Control,6
13_2,10_1,0.0132927288041933,Electronic interaction,Probability Manipulation,6
13_2,10_2,0.0246018384706259,Electronic interaction,Time Travel,14
13_2,10_3,0.0223834645267618,Electronic interaction,Time Manipulation,14
13_2,10_4,0.0125919301338706,Electronic interaction,Reality Manpulation,12
13_2,10_5,0.0056758701866955,Electronic interaction,Dimensional Manipulation,10
13_2,10_6,0.0075091359544851,Electronic interaction,Illusion Casting,12
13_2,12_1,0.0042673975937203,Electronic interaction,Vampirism,3
13_2,12_2,0.0006618823588835,Electronic interaction,Poisonous,2
13_2,12_3,0.0040090697518169,Electronic interaction,Immortal,16
13_2,12_4,0.0372887566018527,Electronic interaction,Invulnerability,41
13_2,6_1,0.00359660979716,Electronic interaction,Animation,5
13_2,6_2,0.0085176210610124,Electronic interaction,Siphon Abilities,7
13_2,6_3,0.0161937111233801,Electronic interaction,Siphon Lifeforce,9
13_2,6_4,0.0024093544858604,Electronic interaction,Power Mimicry,5
13_2,6_5,0.0175246310069599,Electronic interaction,Cosmic Awareness,13
13_2,6_6,0.0144500938269118,Electronic interaction,Astral Projection,13
13_2,6_7,0.0049039110646012,Electronic interaction,Divine Powers,11
13_2,6_8,0.001159011903315,Electronic interaction,Magic,10
13_2,9_1,2.3057985398720344e-05,Electronic interaction,Psychometry,1
13_2,9_2,0.0007524243401046,Electronic interaction,Postcognition,2
13_2,9_3,0.0011881256900587,Electronic interaction,Voice-induced Manipulation,3
13_2,9_4,0.006946723442731,Electronic interaction,Emotion Control,6
13_2,9_5,0.0010282507622278,Electronic interaction,Mesmerize,4
13_2,9_6,0.0015342565138719,Electronic interaction,Precognition,5
13_2,9_7,0.0053780586009094,Electronic interaction,Empathy,7
13_2,9_8,0.0058473895374141,Electronic interaction,Willpower-Based Constructs,9
13_2,9_9,0.0004850522668395,Electronic interaction,Hypnosis,6
13_2,9_10,0.0018565083365695,Electronic interaction,Psychic,8
13_2,9_11,0.0218158673511967,Electronic interaction,Telekinesis,18
13_2,9_12,0.0027748509626442,Electronic interaction,Psionic,12
13_2,9_13,0.0094048155345754,Electronic interaction,Telepathy,18
13_2,2_1,0.0998983327135538,Electronic interaction,Implants,29
13_2,2_2,0.0200289496798076,Electronic interaction,Power Suit,18
13_2,2_3,0.002745359146752,Electronic interaction,Insanely Rich,13
13_2,2_4,2.3831888796995158e-07,Electronic interaction,Power Item,11
13_2,2_5,0.0417466935687812,Electronic interaction,Gadgets,40
13_2,2_6,0.0018418535907885,Electronic interaction,Weapon Master,27
13_2,5_1,0.0168042469595698,Electronic interaction,Darkforce Manipulation,8
13_2,5_2,0.2482208949894991,Electronic interaction,Technopathy,35
13_2,5_3,0.2235388246560041,Electronic interaction,Electronic Disruption,33
13_2,5_4,0.0009564634109417,Electronic interaction,Radiation,4
13_2,5_5,0.0520080751140019,Electronic interaction,Holographic Projection,16
13_2,5_6,0.0865775466630733,Electronic interaction,Electricity Control,26
13_2,5_7,0.0168203002889583,Electronic interaction,Heat Generation,14
13_2,5_8,0.0192862952526842,Electronic interaction,Energy Based Constructs,15
13_2,5_9,0.0180924248750911,Electronic interaction,Light Projection,15
13_2,5_10,0.0840810523659723,Electronic interaction,Energy Shield,30
13_2,5_11,0.020531615470298,Electronic interaction,Energy-Enhanced Strike,19
13_2,5_12,0.0593991157250635,Electronic interaction,Energy Absorption,29
13_2,5_13,0.0294060889017878,Electronic interaction,Energy Manipulation,25
13_2,5_14,0.066511758168189,Electronic interaction,Blast Power,49
13_2,3_1,0.000544358034113,Electronic interaction,Prehensile Hair,0
13_2,3_2,0.0023220855579617,Electronic interaction,Shadowmeld,0
13_2,3_3,0.0095209182436757,Electronic interaction,Chemical Absorbtion,4
13_2,3_4,0.0036985728379354,Electronic interaction,Sonic Scream,0
13_2,3_5,0.0009589334676388,Electronic interaction,Webslinger,2
13_2,3_6,0.0005641933907572,Electronic interaction,Chemical Secretion,3
13_2,3_7,0.0001518796174366,Electronic interaction,Wall Clinger,2
13_2,3_8,0.0184182696326263,Electronic interaction,Duplication,9
13_2,3_9,0.0509087876821057,Electronic interaction,Matter Absorption,15
13_2,3_10,0.0025242971647728,Electronic interaction,Elasticity,5
13_2,3_11,0.0069925863743727,Electronic interaction,Heat Vision,7
13_2,3_12,0.0017057422623079,Electronic interaction,Sub-Mariner,5
13_2,3_13,0.0144919984450862,Electronic interaction,Chameleon,10
13_2,3_14,0.0134424743666083,Electronic interaction,Invisibility,12
13_2,3_15,0.0102902890401741,Electronic interaction,Phasing / Ghost,13
13_2,3_16,0.0045884982170328,Electronic interaction,Size Manipulation,11
13_2,3_17,0.0139311550810024,Electronic interaction,Levitation,15
13_2,3_18,0.0003795642983977,Electronic interaction,Feral,6
13_2,3_19,0.000230454788002,Electronic interaction,Claws,7
13_2,3_20,0.0672635122950338,Electronic interaction,Adaptive,29
13_2,3_21,0.0164235223481831,Electronic interaction,Teleport,20
13_2,3_22,0.0571128280729845,Electronic interaction,Flight,50
13_2,4_1,0.0077157571729548,Electronic interaction,Synaesthesia,2
13_2,4_2,0.0211941224456636,Electronic interaction,Omni-lingual,13
13_2,4_3,0.0008436552542234,Electronic interaction,Swordsmanship,7
13_2,4_4,0.0005642848265742,Electronic interaction,Escape Artist,11
13_2,4_5,0.0075915954385098,Electronic interaction,Tracking,23
13_2,4_6,1.1761479312581007e-05,Electronic interaction,Stealth,18
13_2,4_7,0.0002291098883099,Electronic interaction,Marksmanship,20
13_2,4_8,0.0084615492507627,Electronic interaction,Leadership,34
13_2,4_9,0.025467342765429,Electronic interaction,Intellect,58
13_2,4_10,0.0016115012929834,Electronic interaction,Unarmed Combat,52
13_2,1_1,0.0006618823588835,Electronic interaction,Super Eating,2
13_2,1_2,0.0001326825536995,Electronic interaction,Super Smell,7
13_2,1_3,0.0062046569161849,Electronic interaction,Super Hearing,15
13_2,1_4,0.0123431369131869,Electronic interaction,Berserker Strength,18
13_2,1_5,0.0272466941314814,Electronic interaction,Super Sight,25
13_2,1_6,0.0007986850324997,Electronic interaction,Longevity,18
13_2,1_7,0.0181738816106789,Electronic interaction,Super Speed,33
13_2,1_8,0.0152674641445893,Electronic interaction,Healing,32
13_2,1_9,0.0246328056249961,Electronic interaction,Super Strength,49
13_2,1_10,0.0020435352164566,Electronic interaction,Agility,40
13_2,1_11,0.008998529223608,Electronic interaction,Stamina,47
13_3,13_1,5.841533642897055e-05,Radar Sense,Sense Death,2
13_3,13_2,0.0835038107405129,Radar Sense,Electronic interaction,21
13_3,13_3,1.0,Radar Sense,Radar Sense,77
13_3,13_4,0.0373742137219649,Radar Sense,Danger Sense,15
13_3,14_1,0.0008227873939792,Radar Sense,Penance Stare,0
13_3,14_2,0.0013736349593714,Radar Sense,Hellfire Control,2
13_3,14_3,0.0004042175466509,Radar Sense,Soul Absorption,1
13_3,14_4,0.0006606247493461,Radar Sense,Darkness Manipulation,3
13_3,14_5,0.0042705430799403,Radar Sense,Death Touch,5
13_3,14_6,0.0005372460935678,Radar Sense,Necromancy,4
13_3,14_7,6.515844873735067e-05,Radar Sense,Possession,4
13_3,11_1,0.0034715047912413,Radar Sense,Blood Control,2
13_3,11_2,0.000155576749385,Radar Sense,Controlled Bone Growth,1
13_3,11_3,0.0023211176996728,Radar Sense,Pheromone Control,2
13_3,11_4,0.0052520394785012,Radar Sense,Enhance Mutation,5
13_3,11_5,0.0016769579965332,Radar Sense,Genetic Manipulation,5
13_3,11_6,0.0042475628275534,Radar Sense,Shape Shifter,15
13_3,8_1,1.9601771778995663e-05,Radar Sense,Inertia Absorption,1
13_3,8_2,0.0262722040541393,Radar Sense,Magnetism,10
13_3,8_3,0.0308926709064637,Radar Sense,Gravity control,11
13_3,8_4,0.0291721869060027,Radar Sense,Vibration Wave,11
13_3,8_5,0.0046396435910314,Radar Sense,Density Control,7
13_3,8_6,0.0534190169185958,Radar Sense,Force Field,32
13_3,7_1,0.0099035132125273,Radar Sense,Sand manipulation,3
13_3,7_2,0.002666642925915,Radar Sense,Plant Control,3
13_3,7_3,0.0020029915741482,Radar Sense,Ice Breath,3
13_3,7_4,0.0005702951191405,Radar Sense,Flame Breath,1
13_3,7_5,0.0239567784195454,Radar Sense,Water Control,9
13_3,7_6,0.0044532760465878,Radar Sense,Ice Control,5
13_3,7_7,0.0052760771423494,Radar Sense,Earth Manipulation,6
13_3,7_8,0.0066829802152833,Radar Sense,Weather Control,7
13_3,7_9,0.0054186886774602,Radar Sense,Wind Bursts,7
13_3,7_10,0.0123169365331173,Radar Sense,Animal Control,10
13_3,7_11,0.0020787531646713,Radar Sense,Fire Control,8
13_3,10_1,0.0044776778465484,Radar Sense,Probability Manipulation,4
13_3,10_2,0.0190605135268365,Radar Sense,Time Travel,13
13_3,10_3,0.0135913938715886,Radar Sense,Time Manipulation,12
13_3,10_4,0.0009472572809662,Radar Sense,Reality Manpulation,7
13_3,10_5,0.0016534345884929,Radar Sense,Dimensional Manipulation,8
13_3,10_6,0.0006866646314027,Radar Sense,Illusion Casting,5
13_3,12_1,6.913624183341394e-06,Radar Sense,Vampirism,1
13_3,12_2,0.006360966924922,Radar Sense,Poisonous,4
13_3,12_3,0.0021593958035436,Radar Sense,Immortal,15
13_3,12_4,0.0448362221181512,Radar Sense,Invulnerability,44
13_3,6_1,0.0019768558822576,Radar Sense,Animation,1
13_3,6_2,0.0049189183395135,Radar Sense,Siphon Abilities,6
13_3,6_3,0.0047479099345725,Radar Sense,Siphon Lifeforce,6
13_3,6_4,0.0044202590535662,Radar Sense,Power Mimicry,6
13_3,6_5,0.0027478045784894,Radar Sense,Cosmic Awareness,8
13_3,6_6,6.517970844142779e-05,Radar Sense,Astral Projection,6
13_3,6_7,3.23761643008191e-05,Radar Sense,Divine Powers,7
13_3,6_8,0.0002066388122971,Radar Sense,Magic,7
13_3,9_1,0.0008639817568164,Radar Sense,Psychometry,2
13_3,9_2,0.000668903547947,Radar Sense,Postcognition,2
13_3,9_3,0.0064268927527892,Radar Sense,Voice-induced Manipulation,5
13_3,9_4,0.0001367956300352,Radar Sense,Emotion Control,2
13_3,9_5,0.0026267947160862,Radar Sense,Mesmerize,5
13_3,9_6,4.294433176651185e-05,Radar Sense,Precognition,3
13_3,9_7,0.0001066740152601,Radar Sense,Empathy,3
13_3,9_8,0.0304482682030865,Radar Sense,Willpower-Based Constructs,16
13_3,9_9,1.0406375781948525e-06,Radar Sense,Hypnosis,5
13_3,9_10,0.0050132549679976,Radar Sense,Psychic,10
13_3,9_11,0.0026423628568865,Radar Sense,Telekinesis,11
13_3,9_12,0.0012298252667036,Radar Sense,Psionic,11
13_3,9_13,0.0019019740732636,Radar Sense,Telepathy,14
13_3,2_1,0.031554176411328,Radar Sense,Implants,18
13_3,2_2,0.0337403618449368,Radar Sense,Power Suit,22
13_3,2_3,6.510497775824194e-05,Radar Sense,Insanely Rich,10
13_3,2_4,0.0163382603052204,Radar Sense,Power Item,22
13_3,2_5,0.0277509780660771,Radar Sense,Gadgets,37
13_3,2_6,0.0012990404776885,Radar Sense,Weapon Master,27
13_3,5_1,0.0044532760465878,Radar Sense,Darkforce Manipulation,5
13_3,5_2,0.0633615622141928,Radar Sense,Technopathy,17
13_3,5_3,0.0562378228464013,Radar Sense,Electronic Disruption,16
13_3,5_4,0.0049189183395135,Radar Sense,Radiation,6
13_3,5_5,0.0702742759939372,Radar Sense,Holographic Projection,19
13_3,5_6,0.0516326938765422,Radar Sense,Electricity Control,21
13_3,5_7,0.0046646920644168,Radar Sense,Heat Generation,10
13_3,5_8,0.0114715075132731,Radar Sense,Energy Based Constructs,13
13_3,5_9,0.0135653792458561,Radar Sense,Light Projection,14
13_3,5_10,0.046526681153398,Radar Sense,Energy Shield,24
13_3,5_11,0.0102933718721498,Radar Sense,Energy-Enhanced Strike,16
13_3,5_12,0.0292273876026052,Radar Sense,Energy Absorption,23
13_3,5_13,0.0146581496091684,Radar Sense,Energy Manipulation,21
13_3,5_14,0.0327678080959596,Radar Sense,Blast Power,42
13_3,3_1,0.0005482138458071,Radar Sense,Prehensile Hair,0
13_3,3_2,0.002338538475256,Radar Sense,Shadowmeld,0
13_3,3_3,6.326693142896259e-07,Radar Sense,Chemical Absorbtion,1
13_3,3_4,0.0179361140816548,Radar Sense,Sonic Scream,6
13_3,3_5,0.0179361140816548,Radar Sense,Webslinger,6
13_3,3_6,0.0013235390847706,Radar Sense,Chemical Secretion,1
13_3,3_7,0.0280924112809837,Radar Sense,Wall Clinger,11
13_3,3_8,0.003154063487589,Radar Sense,Duplication,5
13_3,3_9,0.0304887389984203,Radar Sense,Matter Absorption,12
13_3,3_10,0.0022763953824224,Radar Sense,Elasticity,5
13_3,3_11,0.0097043592234817,Radar Sense,Heat Vision,8
13_3,3_12,0.0994482318773922,Radar Sense,Sub-Mariner,23
13_3,3_13,0.021858981469396,Radar Sense,Chameleon,12
13_3,3_14,0.0067463298821214,Radar Sense,Invisibility,10
13_3,3_15,0.009435605752211,Radar Sense,Phasing / Ghost,13
13_3,3_16,0.0110199205415771,Radar Sense,Size Manipulation,14
13_3,3_17,0.0128458276471691,Radar Sense,Levitation,15
13_3,3_18,0.008864889735315,Radar Sense,Feral,14
13_3,3_19,0.0111797931362671,Radar Sense,Claws,16
13_3,3_20,0.0690984798593491,Radar Sense,Adaptive,30
13_3,3_21,0.0040068660192597,Radar Sense,Teleport,15
13_3,3_22,0.0560587943631321,Radar Sense,Flight,51
13_3,4_1,0.0074148312865687,Radar Sense,Synaesthesia,2
13_3,4_2,0.0199385281042445,Radar Sense,Omni-lingual,13
13_3,4_3,0.0001377344817545,Radar Sense,Swordsmanship,10
13_3,4_4,0.0004943348155232,Radar Sense,Escape Artist,8
13_3,4_5,0.0370085513854281,Radar Sense,Tracking,34
13_3,4_6,0.0037878151484312,Radar Sense,Stealth,24
13_3,4_7,0.001669452086575,Radar Sense,Marksmanship,23
13_3,4_8,0.0070205939057907,Radar Sense,Leadership,34
13_3,4_9,0.0239149830267936,Radar Sense,Intellect,59
13_3,4_10,0.0074987249296876,Radar Sense,Unarmed Combat,58
13_3,1_1,0.002858235717302,Radar Sense,Super Eating,3
13_3,1_2,0.0047941729040047,Radar Sense,Super Smell,11
13_3,1_3,0.0362062570453792,Radar Sense,Super Hearing,25
13_3,1_4,0.0197894998860356,Radar Sense,Berserker Strength,21
13_3,1_5,0.0362514109639179,Radar Sense,Super Sight,28
13_3,1_6,0.0076337069799727,Radar Sense,Longevity,24
13_3,1_7,0.0535094064826412,Radar Sense,Super Speed,44
13_3,1_8,0.0268011789834945,Radar Sense,Healing,37
13_3,1_9,0.0490595519534452,Radar Sense,Super Strength,57
13_3,1_10,0.0100812783569685,Radar Sense,Agility,47
13_3,1_11,0.0478886430608282,Radar Sense,Stamina,61
13_4,13_1,0.0556261044628889,Danger Sense,Sense Death,14
13_4,13_2,0.0260953710647503,Danger Sense,Electronic interaction,13
13_4,13_3,0.0350136763358918,Danger Sense,Radar Sense,15
13_4,13_4,1.0,Danger Sense,Danger Sense,84
13_4,14_1,0.001784024962786,Danger Sense,Penance Stare,1
13_4,14_2,0.0473196776433543,Danger Sense,Hellfire Control,10
13_4,14_3,0.0318707206299272,Danger Sense,Soul Absorption,10
13_4,14_4,0.0628343398484115,Danger Sense,Darkness Manipulation,16
13_4,14_5,0.0269841506189892,Danger Sense,Death Touch,11
13_4,14_6,0.0388839393882703,Danger Sense,Necromancy,15
13_4,14_7,0.0079117932315847,Danger Sense,Possession,9
13_4,11_1,0.013081468915834,Danger Sense,Blood Control,4
13_4,11_2,0.0168566514295414,Danger Sense,Controlled Bone Growth,5
13_4,11_3,0.0054107941716825,Danger Sense,Pheromone Control,3
13_4,11_4,0.0194506422658718,Danger Sense,Enhance Mutation,9
13_4,11_5,0.0319225153086279,Danger Sense,Genetic Manipulation,14
13_4,11_6,0.0192544130042977,Danger Sense,Shape Shifter,23
13_4,8_1,8.583535140793869e-07,Danger Sense,Inertia Absorption,1
13_4,8_2,0.0330984549179996,Danger Sense,Magnetism,12
13_4,8_3,0.0088894397560406,Danger Sense,Gravity control,7
13_4,8_4,0.0080958197573232,Danger Sense,Vibration Wave,7
13_4,8_5,0.0083168404197195,Danger Sense,Density Control,9
13_4,8_6,0.0247694629839732,Danger Sense,Force Field,27
13_4,7_1,0.0004449352910713,Danger Sense,Sand manipulation,1
13_4,7_2,0.0020522590740572,Danger Sense,Plant Control,3
13_4,7_3,0.0014791335161631,Danger Sense,Ice Breath,3
13_4,7_4,0.0137494551103323,Danger Sense,Flame Breath,7
13_4,7_5,0.0156764298907179,Danger Sense,Water Control,8
13_4,7_6,0.0061407671624583,Danger Sense,Ice Control,6
13_4,7_7,0.0220306140814903,Danger Sense,Earth Manipulation,11
13_4,7_8,0.0498610380473671,Danger Sense,Weather Control,17
13_4,7_9,0.0127164370662874,Danger Sense,Wind Bursts,10
13_4,7_10,0.0387295324775743,Danger Sense,Animal Control,17
13_4,7_11,0.0176098585860946,Danger Sense,Fire Control,15
13_4,10_1,0.0318707206299272,Danger Sense,Probability Manipulation,10
13_4,10_2,0.0268584672750847,Danger Sense,Time Travel,16
13_4,10_3,0.0475558751843818,Danger Sense,Time Manipulation,21
13_4,10_4,0.0255796139715444,Danger Sense,Reality Manpulation,17
13_4,10_5,0.0195240615648561,Danger Sense,Dimensional Manipulation,16
