group,variable,value
Claws,Time Manipulation,8.854166666666670
Claws,Radiation,2.0833333333333300
Claws,Electronic interaction,3.6458333333333300
Claws,Possession,7.8125
Claws,Implants,11.458333333333300
Claws,Wall Clinger,16.145833333333300
Claws,Ice Control,3.6458333333333300
Claws,Earth Manipulation,5.729166666666670
Claws,Flame Breath,7.291666666666670
Claws,Animation,3.6458333333333300
Claws,Leadership,23.958333333333300
Claws,Vampirism,7.291666666666670
Claws,Emotion Control,6.25
Claws,Insanely Rich,11.979166666666700
Claws,Phasing / Ghost,7.8125
Claws,Sub-Mariner,10.416666666666700
Claws,Flight,35.9375
Claws,Inertia Absorption,1.0416666666666700
Claws,Escape Artist,18.229166666666700
Claws,Blast Power,23.958333333333300
Claws,Wind Bursts,4.6875
Claws,Fire Control,9.895833333333330
Claws,Gravity control,4.166666666666670
Claws,Poisonous,7.291666666666670
Claws,Berserker Strength,37.5
Claws,Heat Generation,8.333333333333330
Claws,Time Travel,4.6875
Claws,Gadgets,22.916666666666700
Claws,Marksmanship,18.75
Claws,Super Smell,38.020833333333300
Claws,Healing,52.083333333333300
Claws,Siphon Lifeforce,8.854166666666670
Claws,Divine Powers,10.9375
Claws,Telekinesis,11.458333333333300
Claws,Empathy,8.854166666666670
Claws,Dimensional Manipulation,9.895833333333330
Claws,Weapon Master,22.395833333333300
Claws,Teleport,14.583333333333300
Claws,Electricity Control,8.854166666666670
Super Speed,Claws,18.354430379746800
Super Speed,Super Speed,100.0
Super Speed,Sand manipulation,0.6329113924050630
Super Speed,Probability Manipulation,2.9535864978903000
Super Speed,Super Strength,84.59915611814350
Super Speed,Shadowmeld,0.4219409282700420
Super Speed,Radar Sense,8.860759493670890
Super Speed,Weather Control,8.860759493670890
Super Speed,Magic,14.767932489451500
Super Speed,Power Item,24.47257383966250
Super Speed,Cosmic Awareness,15.611814345991600
Super Speed,Blood Control,1.4767932489451500
Super Speed,Energy Based Constructs,12.236286919831200
Super Speed,Voice-induced Manipulation,3.3755274261603400
Super Speed,Death Touch,5.274261603375530
Super Speed,Sense Death,4.219409282700420
Super Speed,Stealth,22.78481012658230
Super Speed,Darkforce Manipulation,5.063291139240510
Super Speed,Webslinger,4.008438818565400
Super Speed,Reality Manpulation,11.181434599156100
Super Speed,Psychometry,2.742616033755270
Super Speed,Chameleon,8.227848101265820
Super Speed,Prehensile Hair,0.0
Super Speed,Invulnerability,58.22784810126580
Super Speed,Hypnosis,8.016877637130800
Super Speed,Electronic Disruption,5.485232067510550
Super Speed,Precognition,6.329113924050630
Super Speed,Psychic,9.071729957805910
Super Speed,Unarmed Combat,81.22362869198310
Super Speed,Super Eating,3.1645569620253200
Super Speed,Telepathy,20.042194092827000
Super Speed,Astral Projection,10.970464135021100
Super Speed,Light Projection,13.50210970464140
Super Speed,Power Suit,13.080168776371300
Super Speed,Controlled Bone Growth,1.0548523206751100
Super Speed,Willpower-Based Constructs,9.49367088607595
Super Speed,Technopathy,4.008438818565400
Super Speed,Plant Control,0.4219409282700420
Super Speed,Tracking,27.426160337552700
Super Speed,Hellfire Control,2.320675105485230
Super Speed,Elasticity,5.274261603375530
Super Speed,Siphon Abilities,7.172995780590720
Super Speed,Feral,21.30801687763710
Super Speed,Magnetism,4.852320675105490
Super Speed,Size Manipulation,12.447257383966200
Super Speed,Density Control,8.649789029535870
Super Speed,Energy Shield,16.666666666666700
Super Speed,Holographic Projection,5.274261603375530
Super Speed,Illusion Casting,8.649789029535870
Super Speed,Pheromone Control,1.4767932489451500
Super Speed,Penance Stare,0.2109704641350210
Super Speed,Duplication,6.118143459915610
Super Speed,Agility,72.36286919831220
Super Speed,Shape Shifter,18.354430379746800
Super Speed,Super Sight,37.552742616033800
Super Speed,Danger Sense,9.70464135021097
Super Speed,Adaptive,17.088607594936700
Super Speed,Heat Vision,12.447257383966200
Super Speed,Darkness Manipulation,4.430379746835440
Super Speed,Water Control,3.7974683544303800
Super Speed,Longevity,33.755274261603400
Super Speed,Sonic Scream,2.9535864978903000
Super Speed,Stamina,78.69198312236290
Super Speed,Energy Manipulation,25.10548523206750
Super Speed,Omni-lingual,8.016877637130800
Super Speed,Chemical Secretion,2.5316455696202500
Super Speed,Energy Absorption,23.628691983122400
Super Speed,Animal Control,7.805907172995780
Super Speed,Soul Absorption,4.641350210970460
Super Speed,Mesmerize,4.852320675105490
Super Speed,Immortal,27.637130801687800
Super Speed,Genetic Manipulation,7.172995780590720
Super Speed,Swordsmanship,16.244725738396600
Super Speed,Chemical Absorbtion,1.4767932489451500
Super Speed,Force Field,25.10548523206750
Super Speed,Psionic,12.869198312236300
Super Speed,Enhance Mutation,5.9071729957805900
Super Speed,Matter Absorption,7.383966244725740
Super Speed,Synaesthesia,0.4219409282700420
Super Speed,Necromancy,5.063291139240510
Super Speed,Power Mimicry,8.438818565400840
Super Speed,Energy-Enhanced Strike,21.518987341772200
Super Speed,Invisibility,10.970464135021100
Super Speed,Super Hearing,33.12236286919830
Super Speed,Intellect,59.07172995780590
Super Speed,Vibration Wave,5.9071729957805900
Super Speed,Ice Breath,6.118143459915610
Super Speed,Levitation,13.291139240506300
Super Speed,Postcognition,2.109704641350210
Super Speed,Time Manipulation,12.447257383966200
Super Speed,Radiation,5.9071729957805900
Super Speed,Electronic interaction,6.540084388185650
Super Speed,Possession,5.9071729957805900
Super Speed,Implants,11.181434599156100
Super Speed,Wall Clinger,7.594936708860760
Super Speed,Ice Control,2.9535864978903000
Super Speed,Earth Manipulation,5.274261603375530
Super Speed,Flame Breath,4.008438818565400
Super Speed,Animation,5.063291139240510
Super Speed,Leadership,39.87341772151900
Super Speed,Vampirism,2.109704641350210
Super Speed,Emotion Control,2.9535864978903000
Super Speed,Insanely Rich,12.447257383966200
Super Speed,Phasing / Ghost,16.666666666666700
Super Speed,Sub-Mariner,6.962025316455700
Super Speed,Flight,54.43037974683540
Super Speed,Inertia Absorption,1.6877637130801700
Super Speed,Escape Artist,12.025316455696200
Super Speed,Blast Power,48.10126582278480
Super Speed,Wind Bursts,10.548523206751100
Super Speed,Fire Control,9.49367088607595
Super Speed,Gravity control,5.485232067510550
Super Speed,Poisonous,2.320675105485230
Super Speed,Berserker Strength,29.11392405063290
Super Speed,Heat Generation,12.869198312236300
Super Speed,Time Travel,8.860759493670890
Super Speed,Gadgets,20.88607594936710
Super Speed,Marksmanship,21.30801687763710
Super Speed,Super Smell,20.042194092827000
Super Speed,Healing,54.219409282700400
Super Speed,Siphon Lifeforce,5.9071729957805900
Super Speed,Divine Powers,16.244725738396600
Super Speed,Telekinesis,16.666666666666700
Super Speed,Empathy,7.594936708860760
Super Speed,Dimensional Manipulation,10.759493670886100
Super Speed,Weapon Master,31.0126582278481
Super Speed,Teleport,20.253164556962000
Super Speed,Electricity Control,13.080168776371300
Sand manipulation,Claws,8.333333333333330
Sand manipulation,Super Speed,41.666666666666700
Sand manipulation,Sand manipulation,100.0
Sand manipulation,Probability Manipulation,16.666666666666700
Sand manipulation,Super Strength,58.333333333333300
Sand manipulation,Shadowmeld,8.333333333333330
Sand manipulation,Radar Sense,25.0
Sand manipulation,Weather Control,58.333333333333300
Sand manipulation,Magic,41.666666666666700
Sand manipulation,Power Item,25.0
Sand manipulation,Cosmic Awareness,16.666666666666700
Sand manipulation,Blood Control,0.0
Sand manipulation,Energy Based Constructs,41.666666666666700
Sand manipulation,Voice-induced Manipulation,8.333333333333330
Sand manipulation,Death Touch,16.666666666666700
Sand manipulation,Sense Death,8.333333333333330
Sand manipulation,Stealth,33.333333333333300
Sand manipulation,Darkforce Manipulation,25.0
Sand manipulation,Webslinger,0.0
Sand manipulation,Reality Manpulation,41.666666666666700
Sand manipulation,Psychometry,0.0
Sand manipulation,Chameleon,8.333333333333330
Sand manipulation,Prehensile Hair,0.0
Sand manipulation,Invulnerability,50.0
Sand manipulation,Hypnosis,25.0
Sand manipulation,Electronic Disruption,0.0
Sand manipulation,Precognition,16.666666666666700
Sand manipulation,Psychic,25.0
Sand manipulation,Unarmed Combat,66.66666666666670
Sand manipulation,Super Eating,16.666666666666700
Sand manipulation,Telepathy,50.0
Sand manipulation,Astral Projection,25.0
Sand manipulation,Light Projection,25.0
Sand manipulation,Power Suit,0.0
Sand manipulation,Controlled Bone Growth,0.0
Sand manipulation,Willpower-Based Constructs,50.0
Sand manipulation,Technopathy,0.0
Sand manipulation,Plant Control,16.666666666666700
Sand manipulation,Tracking,25.0
Sand manipulation,Hellfire Control,8.333333333333330
Sand manipulation,Elasticity,25.0
Sand manipulation,Siphon Abilities,16.666666666666700
Sand manipulation,Feral,8.333333333333330
Sand manipulation,Magnetism,16.666666666666700
Sand manipulation,Size Manipulation,58.333333333333300
Sand manipulation,Density Control,33.333333333333300
Sand manipulation,Energy Shield,41.666666666666700
Sand manipulation,Holographic Projection,16.666666666666700
Sand manipulation,Illusion Casting,41.666666666666700
Sand manipulation,Pheromone Control,8.333333333333330
Sand manipulation,Penance Stare,8.333333333333330
Sand manipulation,Duplication,33.333333333333300
Sand manipulation,Agility,33.333333333333300
Sand manipulation,Shape Shifter,58.333333333333300
Sand manipulation,Super Sight,8.333333333333330
Sand manipulation,Danger Sense,8.333333333333330
Sand manipulation,Adaptive,41.666666666666700
Sand manipulation,Heat Vision,16.666666666666700
Sand manipulation,Darkness Manipulation,8.333333333333330
Sand manipulation,Water Control,41.666666666666700
Sand manipulation,Longevity,50.0
Sand manipulation,Sonic Scream,8.333333333333330
Sand manipulation,Stamina,50.0
Sand manipulation,Energy Manipulation,25.0
Sand manipulation,Omni-lingual,33.333333333333300
Sand manipulation,Chemical Secretion,0.0
Sand manipulation,Energy Absorption,25.0
Sand manipulation,Animal Control,16.666666666666700
Sand manipulation,Soul Absorption,8.333333333333330
Sand manipulation,Mesmerize,16.666666666666700
Sand manipulation,Immortal,41.666666666666700
Sand manipulation,Genetic Manipulation,16.666666666666700
Sand manipulation,Swordsmanship,0.0
Sand manipulation,Chemical Absorbtion,8.333333333333330
Sand manipulation,Force Field,66.66666666666670
Sand manipulation,Psionic,33.333333333333300
Sand manipulation,Enhance Mutation,8.333333333333330
Sand manipulation,Matter Absorption,16.666666666666700
Sand manipulation,Synaesthesia,0.0
Sand manipulation,Necromancy,16.666666666666700
Sand manipulation,Power Mimicry,25.0
Sand manipulation,Energy-Enhanced Strike,16.666666666666700
Sand manipulation,Invisibility,25.0
Sand manipulation,Super Hearing,8.333333333333330
Sand manipulation,Intellect,58.333333333333300
Sand manipulation,Vibration Wave,16.666666666666700
Sand manipulation,Ice Breath,8.333333333333330
Sand manipulation,Levitation,50.0
Sand manipulation,Postcognition,0.0
Sand manipulation,Time Manipulation,25.0
Sand manipulation,Radiation,8.333333333333330
Sand manipulation,Electronic interaction,8.333333333333330
Sand manipulation,Possession,16.666666666666700
Sand manipulation,Implants,0.0
Sand manipulation,Wall Clinger,0.0
Sand manipulation,Ice Control,25.0
Sand manipulation,Earth Manipulation,50.0
Sand manipulation,Flame Breath,8.333333333333330
Sand manipulation,Animation,25.0
Sand manipulation,Leadership,25.0
Sand manipulation,Vampirism,0.0
Sand manipulation,Emotion Control,25.0
Sand manipulation,Insanely Rich,25.0
Sand manipulation,Phasing / Ghost,33.333333333333300
Sand manipulation,Sub-Mariner,16.666666666666700
Sand manipulation,Flight,83.33333333333330
Sand manipulation,Inertia Absorption,0.0
Sand manipulation,Escape Artist,41.666666666666700
Sand manipulation,Blast Power,66.66666666666670
Sand manipulation,Wind Bursts,50.0
Sand manipulation,Fire Control,33.333333333333300
Sand manipulation,Gravity control,33.333333333333300
Sand manipulation,Poisonous,8.333333333333330
Sand manipulation,Berserker Strength,25.0
Sand manipulation,Heat Generation,33.333333333333300
Sand manipulation,Time Travel,41.666666666666700
Sand manipulation,Gadgets,16.666666666666700
Sand manipulation,Marksmanship,33.333333333333300
Sand manipulation,Super Smell,8.333333333333330
Sand manipulation,Healing,50.0
Sand manipulation,Siphon Lifeforce,8.333333333333330
Sand manipulation,Divine Powers,33.333333333333300
Sand manipulation,Telekinesis,41.666666666666700
Sand manipulation,Empathy,0.0
Sand manipulation,Dimensional Manipulation,33.333333333333300
Sand manipulation,Weapon Master,8.333333333333330
Sand manipulation,Teleport,50.0
Sand manipulation,Electricity Control,41.666666666666700
Probability Manipulation,Claws,13.513513513513500
Probability Manipulation,Super Speed,43.24324324324320
Probability Manipulation,Sand manipulation,5.405405405405410
Probability Manipulation,Probability Manipulation,100.0
Probability Manipulation,Super Strength,43.24324324324320
Probability Manipulation,Shadowmeld,2.7027027027027000
Probability Manipulation,Radar Sense,10.81081081081080
Probability Manipulation,Weather Control,48.648648648648600
Probability Manipulation,Magic,56.75675675675680
Probability Manipulation,Power Item,21.62162162162160
Probability Manipulation,Cosmic Awareness,43.24324324324320
Probability Manipulation,Blood Control,8.108108108108110
Probability Manipulation,Energy Based Constructs,35.13513513513510
Probability Manipulation,Voice-induced Manipulation,27.027027027027000
Probability Manipulation,Death Touch,29.72972972972970
Probability Manipulation,Sense Death,29.72972972972970
Probability Manipulation,Stealth,18.91891891891890
Probability Manipulation,Darkforce Manipulation,21.62162162162160
Probability Manipulation,Webslinger,8.108108108108110
Probability Manipulation,Reality Manpulation,67.56756756756760
Probability Manipulation,Psychometry,8.108108108108110
Probability Manipulation,Chameleon,13.513513513513500
Probability Manipulation,Prehensile Hair,0.0
Probability Manipulation,Invulnerability,43.24324324324320
Probability Manipulation,Hypnosis,35.13513513513510
Probability Manipulation,Electronic Disruption,18.91891891891890
Probability Manipulation,Precognition,35.13513513513510
Probability Manipulation,Psychic,48.648648648648600
Probability Manipulation,Unarmed Combat,56.75675675675680
Probability Manipulation,Super Eating,5.405405405405410
Probability Manipulation,Telepathy,56.75675675675680
Probability Manipulation,Astral Projection,48.648648648648600
Probability Manipulation,Light Projection,37.83783783783780
Probability Manipulation,Power Suit,5.405405405405410
Probability Manipulation,Controlled Bone Growth,5.405405405405410
Probability Manipulation,Willpower-Based Constructs,32.432432432432400
Probability Manipulation,Technopathy,5.405405405405410
Probability Manipulation,Plant Control,21.62162162162160
Probability Manipulation,Tracking,16.216216216216200
Probability Manipulation,Hellfire Control,10.81081081081080
Probability Manipulation,Elasticity,5.405405405405410
Probability Manipulation,Siphon Abilities,37.83783783783780
Probability Manipulation,Feral,13.513513513513500
Probability Manipulation,Magnetism,16.216216216216200
Probability Manipulation,Size Manipulation,27.027027027027000
Probability Manipulation,Density Control,18.91891891891890
Probability Manipulation,Energy Shield,45.945945945945900
Probability Manipulation,Holographic Projection,18.91891891891890
Probability Manipulation,Illusion Casting,54.054054054054100
Probability Manipulation,Pheromone Control,2.7027027027027000
Probability Manipulation,Penance Stare,0.0
Probability Manipulation,Duplication,27.027027027027000
Probability Manipulation,Agility,48.648648648648600
Probability Manipulation,Shape Shifter,37.83783783783780
Probability Manipulation,Super Sight,29.72972972972970
Probability Manipulation,Danger Sense,27.027027027027000
Probability Manipulation,Adaptive,18.91891891891890
Probability Manipulation,Heat Vision,8.108108108108110
Probability Manipulation,Darkness Manipulation,13.513513513513500
Probability Manipulation,Water Control,37.83783783783780
Probability Manipulation,Longevity,45.945945945945900
Probability Manipulation,Sonic Scream,5.405405405405410
Probability Manipulation,Stamina,54.054054054054100
Probability Manipulation,Energy Manipulation,51.351351351351400
Probability Manipulation,Omni-lingual,21.62162162162160
Probability Manipulation,Chemical Secretion,2.7027027027027000
Probability Manipulation,Energy Absorption,48.648648648648600
Probability Manipulation,Animal Control,32.432432432432400
Probability Manipulation,Soul Absorption,24.324324324324300
Probability Manipulation,Mesmerize,29.72972972972970
Probability Manipulation,Immortal,51.351351351351400
Probability Manipulation,Genetic Manipulation,29.72972972972970
Probability Manipulation,Swordsmanship,5.405405405405410
Probability Manipulation,Chemical Absorbtion,2.7027027027027000
Probability Manipulation,Force Field,59.45945945945950
Probability Manipulation,Psionic,54.054054054054100
Probability Manipulation,Enhance Mutation,13.513513513513500
Probability Manipulation,Matter Absorption,29.72972972972970
Probability Manipulation,Synaesthesia,2.7027027027027000
Probability Manipulation,Necromancy,37.83783783783780
Probability Manipulation,Power Mimicry,10.81081081081080
Probability Manipulation,Energy-Enhanced Strike,21.62162162162160
Probability Manipulation,Invisibility,37.83783783783780
Probability Manipulation,Super Hearing,24.324324324324300
Probability Manipulation,Intellect,64.86486486486490
Probability Manipulation,Vibration Wave,13.513513513513500
Probability Manipulation,Ice Breath,5.405405405405410
Probability Manipulation,Levitation,51.351351351351400
Probability Manipulation,Postcognition,10.81081081081080
Probability Manipulation,Time Manipulation,56.75675675675680
Probability Manipulation,Radiation,5.405405405405410
Probability Manipulation,Electronic interaction,16.216216216216200
Probability Manipulation,Possession,24.324324324324300
Probability Manipulation,Implants,0.0
Probability Manipulation,Wall Clinger,5.405405405405410
Probability Manipulation,Ice Control,24.324324324324300
Probability Manipulation,Earth Manipulation,40.54054054054050
Probability Manipulation,Flame Breath,8.108108108108110
Probability Manipulation,Animation,35.13513513513510
Probability Manipulation,Leadership,40.54054054054050
Probability Manipulation,Vampirism,5.405405405405410
Probability Manipulation,Emotion Control,29.72972972972970
Probability Manipulation,Insanely Rich,8.108108108108110
Probability Manipulation,Phasing / Ghost,27.027027027027000
Probability Manipulation,Sub-Mariner,5.405405405405410
Probability Manipulation,Flight,48.648648648648600
Probability Manipulation,Inertia Absorption,5.405405405405410
Probability Manipulation,Escape Artist,18.91891891891890
Probability Manipulation,Blast Power,64.86486486486490
Probability Manipulation,Wind Bursts,37.83783783783780
Probability Manipulation,Fire Control,48.648648648648600
Probability Manipulation,Gravity control,21.62162162162160
Probability Manipulation,Poisonous,2.7027027027027000
Probability Manipulation,Berserker Strength,21.62162162162160
Probability Manipulation,Heat Generation,18.91891891891890
Probability Manipulation,Time Travel,37.83783783783780
Probability Manipulation,Gadgets,18.91891891891890
Probability Manipulation,Marksmanship,21.62162162162160
Probability Manipulation,Super Smell,10.81081081081080
Probability Manipulation,Healing,62.16216216216220
Probability Manipulation,Siphon Lifeforce,16.216216216216200
Probability Manipulation,Divine Powers,54.054054054054100
Probability Manipulation,Telekinesis,62.16216216216220
Probability Manipulation,Empathy,16.216216216216200
Probability Manipulation,Dimensional Manipulation,48.648648648648600
Probability Manipulation,Weapon Master,16.216216216216200
Probability Manipulation,Teleport,64.86486486486490
Probability Manipulation,Electricity Control,40.54054054054050
Super Strength,Claws,17.135549872122800
Super Strength,Super Speed,51.150895140665000
Super Strength,Sand manipulation,0.5115089514066500
Super Strength,Probability Manipulation,1.6624040920716100
Super Strength,Super Strength,100.0
Super Strength,Shadowmeld,0.5115089514066500
Super Strength,Radar Sense,6.90537084398977
Super Strength,Weather Control,5.626598465473150
Super Strength,Magic,12.659846547314600
Super Strength,Power Item,19.948849104859300
Super Strength,Cosmic Awareness,9.718670076726340
Super Strength,Blood Control,0.639386189258312
Super Strength,Energy Based Constructs,8.695652173913040
Super Strength,Voice-induced Manipulation,2.1739130434782600
Super Strength,Death Touch,4.092071611253200
Super Strength,Sense Death,3.1969309462915600
Super Strength,Stealth,19.69309462915600
Super Strength,Darkforce Manipulation,4.092071611253200
Super Strength,Webslinger,2.813299232736570
Super Strength,Reality Manpulation,8.05626598465473
Super Strength,Psychometry,1.6624040920716100
Super Strength,Chameleon,7.544757033248080
Super Strength,Prehensile Hair,0.0
Super Strength,Invulnerability,57.928388746803100
Super Strength,Hypnosis,6.521739130434780
Super Strength,Electronic Disruption,3.836317135549870
Super Strength,Precognition,4.603580562659850
Super Strength,Psychic,7.161125319693090
Super Strength,Unarmed Combat,81.20204603580560
Super Strength,Super Eating,2.557544757033250
Super Strength,Telepathy,16.879795396419400
Super Strength,Astral Projection,8.823529411764710
Super Strength,Light Projection,8.184143222506390
Super Strength,Power Suit,13.682864450127900
Super Strength,Controlled Bone Growth,1.278772378516620
Super Strength,Willpower-Based Constructs,6.649616368286450
Super Strength,Technopathy,4.475703324808180
Super Strength,Plant Control,1.4066496163682900
Super Strength,Tracking,22.762148337595900
Super Strength,Hellfire Control,2.1739130434782600
Super Strength,Elasticity,6.010230179028130
Super Strength,Siphon Abilities,5.115089514066500
Super Strength,Feral,17.902813299232700
Super Strength,Magnetism,3.836317135549870
Super Strength,Size Manipulation,14.705882352941200
Super Strength,Density Control,7.41687979539642
Super Strength,Energy Shield,12.659846547314600
Super Strength,Holographic Projection,4.092071611253200
Super Strength,Illusion Casting,7.289002557544760
Super Strength,Pheromone Control,1.0230179028133000
Super Strength,Penance Stare,0.3836317135549870
Super Strength,Duplication,4.987212276214830
Super Strength,Agility,59.71867007672630
Super Strength,Shape Shifter,21.22762148337600
Super Strength,Super Sight,28.005115089514100
Super Strength,Danger Sense,6.90537084398977
Super Strength,Adaptive,16.36828644501280
Super Strength,Heat Vision,7.928388746803070
Super Strength,Darkness Manipulation,4.092071611253200
Super Strength,Water Control,3.0690537084399000
Super Strength,Longevity,31.84143222506390
Super Strength,Sonic Scream,2.3017902813299200
Super Strength,Stamina,71.09974424552430
Super Strength,Energy Manipulation,18.67007672634270
Super Strength,Omni-lingual,7.544757033248080
Super Strength,Chemical Secretion,3.452685421994890
Super Strength,Energy Absorption,17.902813299232700
Super Strength,Animal Control,7.544757033248080
Super Strength,Soul Absorption,3.70843989769821
Super Strength,Mesmerize,3.9641943734015300
Super Strength,Immortal,23.529411764705900
Super Strength,Genetic Manipulation,5.754475703324810
Super Strength,Swordsmanship,14.705882352941200
Super Strength,Chemical Absorbtion,1.7902813299232700
Super Strength,Force Field,18.414322250639400
Super Strength,Psionic,12.148337595907900
Super Strength,Enhance Mutation,4.092071611253200
Super Strength,Matter Absorption,6.521739130434780
Super Strength,Synaesthesia,0.0
Super Strength,Necromancy,4.731457800511510
Super Strength,Power Mimicry,6.649616368286450
Super Strength,Energy-Enhanced Strike,15.089514066496200
Super Strength,Invisibility,7.672634271099740
Super Strength,Super Hearing,23.785166240409200
Super Strength,Intellect,56.39386189258310
Super Strength,Vibration Wave,4.731457800511510
Super Strength,Ice Breath,3.452685421994890
Super Strength,Levitation,10.997442455243000
Super Strength,Postcognition,1.5345268542199500
Super Strength,Time Manipulation,8.184143222506390
Super Strength,Radiation,4.603580562659850
Super Strength,Electronic interaction,5.882352941176470
Super Strength,Possession,5.626598465473150
Super Strength,Implants,12.27621483375960
Super Strength,Wall Clinger,5.370843989769820
Super Strength,Ice Control,2.6854219948849100
Super Strength,Earth Manipulation,4.219948849104860
Super Strength,Flame Breath,3.452685421994890
Super Strength,Animation,4.475703324808180
Super Strength,Leadership,35.549872122762100
Super Strength,Vampirism,2.0460358056266000
Super Strength,Emotion Control,2.813299232736570
Super Strength,Insanely Rich,12.531969309462900
Super Strength,Phasing / Ghost,10.230179028133000
Super Strength,Sub-Mariner,7.161125319693090
Super Strength,Flight,45.65217391304350
Super Strength,Inertia Absorption,1.4066496163682900
Super Strength,Escape Artist,10.230179028133000
Super Strength,Blast Power,41.43222506393860
Super Strength,Wind Bursts,6.138107416879800
Super Strength,Fire Control,7.672634271099740
Super Strength,Gravity control,4.092071611253200
Super Strength,Poisonous,2.557544757033250
Super Strength,Berserker Strength,25.575447570332500
Super Strength,Heat Generation,9.07928388746803
Super Strength,Time Travel,6.521739130434780
Super Strength,Gadgets,22.506393861892600
Super Strength,Marksmanship,20.20460358056270
Super Strength,Super Smell,15.345268542199500
Super Strength,Healing,46.41943734015350
Super Strength,Siphon Lifeforce,6.010230179028130
Super Strength,Divine Powers,13.427109974424600
Super Strength,Telekinesis,11.892583120204600
Super Strength,Empathy,5.242966751918160
Super Strength,Dimensional Manipulation,8.695652173913040
Super Strength,Weapon Master,30.81841432225060
Super Strength,Teleport,16.240409207161100
Super Strength,Electricity Control,8.695652173913040
Shadowmeld,Claws,17.647058823529400
Shadowmeld,Super Speed,23.529411764705900
Shadowmeld,Sand manipulation,5.882352941176470
Shadowmeld,Probability Manipulation,5.882352941176470
Shadowmeld,Super Strength,41.1764705882353
Shadowmeld,Shadowmeld,100.0
Shadowmeld,Radar Sense,0.0
Shadowmeld,Weather Control,17.647058823529400
Shadowmeld,Magic,41.1764705882353
Shadowmeld,Power Item,17.647058823529400
Shadowmeld,Cosmic Awareness,23.529411764705900
Shadowmeld,Blood Control,5.882352941176470
Shadowmeld,Energy Based Constructs,17.647058823529400
Shadowmeld,Voice-induced Manipulation,0.0
Shadowmeld,Death Touch,23.529411764705900
Shadowmeld,Sense Death,23.529411764705900
Shadowmeld,Stealth,41.1764705882353
Shadowmeld,Darkforce Manipulation,64.70588235294120
Shadowmeld,Webslinger,0.0
Shadowmeld,Reality Manpulation,17.647058823529400
