,name,cnt,grp,grp_cnt
95,Dummy5(MC),0,5,0
96,Prehensile Hair(MC),2,3,1455
97,Shadowmeld(MC),10,3,1455
98,Chemical Absorbtion(MC),14,3,1455
99,Sonic Scream(MC),9,3,1455
100,Webslinger(MC),26,3,1455
101,Chemical Secretion(MC),38,3,1455
102,Wall Clinger(MC),49,3,1455
103,Duplication(MC),30,3,1455
104,Matter Absorption(MC),45,3,1455
105,Elasticity(MC),39,3,1455
106,Heat Vision(MC),30,3,1455
107,Sub-Mariner(MC),39,3,1455
108,Chameleon(MC),52,3,1455
109,Invisibility(MC),57,3,1455
110,Phasing / Ghost(MC),55,3,1455
111,Size Manipulation(MC),91,3,1455
112,Levitation(MC),97,3,1455
113,Feral(MC),109,3,1455
114,Claws(MC),121,3,1455
115,Adaptive(MC),117,3,1455
116,Teleport(MC),138,3,1455
117,Flight(MC),287,3,1455
118,Dummy3(MC),0,3,0
119,Synaesthesia(MC),5,4,2285
120,Omni-lingual(MC),45,4,2285
121,Swordsmanship(MC),120,4,2285
122,Escape Artist(MC),115,4,2285
123,Tracking(MC),159,4,2285
124,Stealth(MC),172,4,2285
125,Marksmanship(MC),217,4,2285
126,Leadership(MC),290,4,2285
127,Intellect(MC),504,4,2285
128,Unarmed Combat(MC),658,4,2285
129,Dummy4(MC),0,4,0
130,Super Eating(MC),14,1,2690
131,Super Smell(MC),84,1,2690
132,Super Hearing(MC),125,1,2690
133,Berserker Strength(MC),137,1,2690
134,Super Sight(MC),156,1,2690
135,Longevity(MC),214,1,2690
136,Super Speed(MC),278,1,2690
137,Healing(MC),282,1,2690
138,Super Strength(MC),460,1,2690
139,Agility(MC),468,1,2690
140,Stamina(MC),472,1,2690
141,Dummy1(MC),0,1,0
142,Stamina(DC),472,1,2690
143,Agility(DC),468,1,2690
144,Super Strength(DC),460,1,2690
145,Healing(DC),282,1,2690
146,Super Speed(DC),278,1,2690
147,Longevity(DC),214,1,2690
148,Super Sight(DC),156,1,2690
149,Berserker Strength(DC),137,1,2690
150,Super Hearing(DC),125,1,2690
151,Super Smell(DC),84,1,2690
152,Super Eating(DC),14,1,2690
153,Dummy1(DC),0,1,0
154,Unarmed Combat(DC),658,4,2285
155,Intellect(DC),504,4,2285
156,Leadership(DC),290,4,2285
157,Marksmanship(DC),217,4,2285
158,Stealth(DC),172,4,2285
159,Tracking(DC),159,4,2285
160,Escape Artist(DC),115,4,2285
161,Swordsmanship(DC),120,4,2285
162,Omni-lingual(DC),45,4,2285
163,Synaesthesia(DC),5,4,2285
164,Dummy4(DC),0,4,0
165,Flight(DC),287,3,1455
166,Teleport(DC),138,3,1455
167,Adaptive(DC),117,3,1455
168,Claws(DC),121,3,1455
169,Feral(DC),109,3,1455
170,Levitation(DC),97,3,1455
171,Size Manipulation(DC),91,3,1455
172,Phasing / Ghost(DC),55,3,1455
173,Invisibility(DC),57,3,1455
174,Chameleon(DC),52,3,1455
175,Sub-Mariner(DC),39,3,1455
176,Heat Vision(DC),30,3,1455
177,Elasticity(DC),39,3,1455
178,Matter Absorption(DC),45,3,1455
179,Duplication(DC),30,3,1455
180,Wall Clinger(DC),49,3,1455
181,Chemical Secretion(DC),38,3,1455
182,Webslinger(DC),26,3,1455
183,Sonic Scream(DC),9,3,1455
184,Chemical Absorbtion(DC),14,3,1455
185,Shadowmeld(DC),10,3,1455
186,Prehensile Hair(DC),2,3,1455
187,Dummy3(DC),0,3,0
188,Blast Power(DC),313,5,1259
189,Energy Manipulation(DC),142,5,1259
190,Energy Absorption(DC),128,5,1259
191,Energy-Enhanced Strike(DC),114,5,1259
192,Energy Shield(DC),98,5,1259
193,Light Projection(DC),74,5,1259
194,Energy Based Constructs(DC),54,5,1259
195,Heat Generation(DC),86,5,1259
196,Electricity Control(DC),68,5,1259
197,Holographic Projection(DC),31,5,1259
198,Radiation(DC),34,5,1259
199,Electronic Disruption(DC),48,5,1259
200,Technopathy(DC),39,5,1259
201,Darkforce Manipulation(DC),30,5,1259
202,Dummy5(DC),0,5,0
203,Weapon Master(DC),287,2,951
204,Gadgets(DC),234,2,951
205,Power Item(DC),105,2,951
206,Insanely Rich(DC),119,2,951
207,Power Suit(DC),112,2,951
208,Implants(DC),94,2,951
209,Dummy2(DC),0,2,0
210,Telepathy(DC),144,9,803
211,Psionic(DC),138,9,803
212,Telekinesis(DC),94,9,803
213,Psychic(DC),83,9,803
214,Hypnosis(DC),63,9,803
215,Willpower-Based Constructs(DC),36,9,803
216,Empathy(DC),56,9,803
217,Precognition(DC),47,9,803
218,Mesmerize(DC),47,9,803
219,Emotion Control(DC),34,9,803
220,Voice-induced Manipulation(DC),26,9,803
221,Postcognition(DC),18,9,803
222,Psychometry(DC),17,9,803
223,Dummy9(DC),0,9,0
224,Magic(DC),91,6,486
225,Divine Powers(DC),74,6,486
226,Astral Projection(DC),74,6,486
227,Cosmic Awareness(DC),68,6,486
228,Power Mimicry(DC),45,6,486
229,Siphon Lifeforce(DC),54,6,486
230,Siphon Abilities(DC),43,6,486
231,Animation(DC),37,6,486
232,Dummy6(DC),0,6,0
233,Invulnerability(DC),307,12,473
234,Immortal(DC),132,12,473
235,Poisonous(DC),18,12,473
236,Vampirism(DC),16,12,473
237,Dummy12(DC),0,12,0
238,Illusion Casting(DC),81,10,345
239,Dimensional Manipulation(DC),78,10,345
240,Reality Manpulation(DC),56,10,345
241,Time Manipulation(DC),60,10,345
242,Time Travel(DC),48,10,345
243,Probability Manipulation(DC),22,10,345
244,Dummy10(DC),0,10,0
245,Fire Control(DC),79,7,356
246,Animal Control(DC),56,7,356
247,Wind Bursts(DC),33,7,356
248,Weather Control(DC),38,7,356
249,Earth Manipulation(DC),44,7,356
250,Ice Control(DC),26,7,356
251,Water Control(DC),27,7,356
252,Flame Breath(DC),22,7,356
253,Ice Breath(DC),9,7,356
254,Plant Control(DC),19,7,356
255,Sand manipulation(DC),3,7,356
256,Dummy7(DC),0,7,0
257,Force Field(DC),128,8,272
258,Density Control(DC),35,8,272
259,Vibration Wave(DC),31,8,272
260,Gravity control(DC),35,8,272
261,Magnetism(DC),31,8,272
262,Inertia Absorption(DC),12,8,272
263,Dummy8(DC),0,8,0
264,Shape Shifter(DC),136,11,265
265,Genetic Manipulation(DC),56,11,265
266,Enhance Mutation(DC),36,11,265
267,Pheromone Control(DC),15,11,265
268,Controlled Bone Growth(DC),13,11,265
269,Blood Control(DC),9,11,265
270,Dummy11(DC),0,11,0
271,Possession(DC),49,14,192
272,Necromancy(DC),44,14,192
273,Death Touch(DC),34,14,192
274,Darkness Manipulation(DC),25,14,192
275,Soul Absorption(DC),21,14,192
276,Hellfire Control(DC),15,14,192
277,Penance Stare(DC),4,14,192
278,Dummy14(DC),0,14,0
279,Danger Sense(DC),58,13,180
280,Radar Sense(DC),46,13,180
281,Electronic interaction(DC),49,13,180
282,Sense Death(DC),27,13,180
283,Dummy13(DC),0,13,0
